Device-ID/User-ID,Timestamp,Reminder Type,Scheduled Time,Reminder Sent (Yes/No),Acknowledged (Yes/No),Unnamed: 6,Day
D3660,1/16/2025 3:57,Exercise,12:30:00,Yes,No,,D267
D3661,1/27/2025 21:43,Medication,19:30:00,Yes,Yes,,D267
D3662,1/19/2025 20:50,Hydration,20:00:00,Yes,Yes,,D267
D3663,1/19/2025 18:07,Hydration,22:30:00,No,No,,D267
D3664,1/28/2025 21:16,Medication,13:30:00,Yes,Yes,,D267
D3665,1/4/2025 7:24,Appointment,9:30:00,Yes,Yes,,D267
D3666,1/27/2025 8:20,Hydration,16:00:00,No,No,,D267
D3667,1/1/2025 19:42,Exercise,19:30:00,No,No,,D267
D3668,1/20/2025 11:05,Hydration,7:00:00,No,No,,D267
D3669,1/17/2025 10:55,Appointment,17:30:00,No,No,,D267
D3670,1/5/2025 20:56,Hydration,7:30:00,No,No,,D268
D3671,1/17/2025 3:09,Exercise,10:30:00,Yes,Yes,,D268
D3672,1/21/2025 16:39,Hydration,8:00:00,Yes,Yes,,D268
D3673,1/28/2025 10:43,Appointment,22:30:00,Yes,Yes,,D268
D3674,1/3/2025 8:11,Appointment,9:00:00,Yes,Yes,,D268
D3675,1/24/2025 1:47,Appointment,7:00:00,No,No,,D268
D3676,1/15/2025 10:59,Appointment,15:00:00,Yes,Yes,,D268
D3677,1/22/2025 10:55,Medication,9:00:00,No,No,,D268
D3678,1/2/2025 21:14,Hydration,19:30:00,Yes,Yes,,D268
D3679,1/8/2025 9:08,Appointment,16:00:00,No,No,,D268
D3680,1/4/2025 21:23,Exercise,19:00:00,Yes,Yes,,D269
D3681,1/5/2025 10:52,Medication,10:30:00,Yes,Yes,,D269
D3682,1/13/2025 15:09,Hydration,19:30:00,Yes,No,,D269
D3683,1/10/2025 10:30,Hydration,22:00:00,Yes,Yes,,D269
D3684,1/24/2025 4:40,Appointment,14:30:00,Yes,Yes,,D269
D3685,1/2/2025 4:26,Appointment,15:00:00,Yes,Yes,,D269
D3686,1/16/2025 20:36,Medication,13:30:00,No,No,,D269
D3687,1/29/2025 5:32,Exercise,22:00:00,Yes,Yes,,D269
D3688,1/7/2025 8:53,Hydration,14:30:00,Yes,Yes,,D269
D3689,1/6/2025 9:00,Exercise,7:00:00,No,No,,D269
D3690,1/25/2025 14:28,Exercise,7:00:00,Yes,Yes,,D270
D3691,1/24/2025 20:09,Appointment,21:00:00,No,No,,D270
D3692,1/20/2025 1:28,Appointment,20:00:00,No,No,,D270
D3693,1/29/2025 18:50,Medication,8:30:00,Yes,Yes,,D270
D3694,1/13/2025 15:40,Hydration,15:30:00,Yes,No,,D270
D3695,1/25/2025 20:27,Hydration,6:30:00,Yes,Yes,,D270
D3696,1/12/2025 13:57,Medication,16:00:00,No,No,,D270
D3697,1/14/2025 10:43,Appointment,15:30:00,Yes,Yes,,D270
D3698,1/5/2025 3:47,Medication,21:00:00,Yes,Yes,,D270
D3699,1/29/2025 18:55,Medication,11:00:00,Yes,No,,D270
D3700,1/28/2025 9:40,Medication,6:30:00,Yes,No,,D271
D3701,1/1/2025 13:11,Exercise,22:30:00,No,No,,D271
D3702,1/23/2025 23:42,Hydration,20:00:00,No,No,,D271
D3703,1/28/2025 13:22,Exercise,7:30:00,No,No,,D271
D3704,1/10/2025 12:01,Appointment,6:00:00,No,No,,D271
D3705,1/18/2025 22:58,Medication,14:00:00,Yes,Yes,,D271
D3706,1/1/2025 5:31,Appointment,20:30:00,Yes,Yes,,D271
D3707,1/3/2025 16:03,Appointment,11:00:00,Yes,Yes,,D271
D3708,1/30/2025 3:27,Hydration,6:30:00,Yes,Yes,,D271
D3709,1/18/2025 1:10,Exercise,15:30:00,No,No,,D271
D3710,1/14/2025 0:11,Medication,6:30:00,No,No,,D272
D3711,1/27/2025 15:14,Exercise,13:00:00,No,No,,D272
D3712,1/7/2025 5:33,Hydration,16:30:00,No,No,,D272
D3713,1/29/2025 2:42,Appointment,17:00:00,Yes,Yes,,D272
D3714,1/23/2025 9:01,Appointment,8:30:00,Yes,Yes,,D272
D3715,1/22/2025 9:19,Exercise,14:00:00,No,No,,D272
D3716,1/28/2025 21:36,Hydration,16:00:00,No,No,,D272
D3717,1/21/2025 4:47,Exercise,9:30:00,No,No,,D272
D3718,1/4/2025 9:58,Medication,12:00:00,No,No,,D272
D3719,1/11/2025 16:14,Hydration,17:30:00,No,No,,D272
D3720,1/1/2025 20:16,Hydration,22:00:00,Yes,No,,D273
D3721,1/26/2025 9:24,Medication,11:30:00,Yes,No,,D273
D3722,1/18/2025 3:44,Appointment,20:00:00,Yes,Yes,,D273
D3723,1/15/2025 1:16,Appointment,14:00:00,Yes,Yes,,D273
D3724,1/24/2025 11:11,Medication,19:00:00,Yes,Yes,,D273
D3725,1/17/2025 12:31,Appointment,20:30:00,Yes,Yes,,D273
D3726,1/29/2025 18:35,Appointment,21:00:00,No,No,,D273
D3727,1/30/2025 11:09,Hydration,22:30:00,No,No,,D273
D3728,1/30/2025 14:38,Hydration,13:30:00,Yes,Yes,,D273
D3729,1/16/2025 2:02,Hydration,20:00:00,Yes,Yes,,D273
D3730,1/7/2025 0:10,Hydration,20:30:00,No,No,,D274
D3731,1/19/2025 23:18,Medication,20:30:00,No,No,,D274
D3732,1/25/2025 22:04,Medication,9:30:00,Yes,Yes,,D274
D3733,1/23/2025 5:49,Exercise,10:00:00,No,No,,D274
D3734,1/15/2025 1:57,Appointment,16:30:00,No,No,,D274
D3735,1/24/2025 3:07,Hydration,14:30:00,Yes,Yes,,D274
D3736,1/11/2025 11:42,Appointment,13:00:00,Yes,Yes,,D274
D3737,1/30/2025 19:45,Exercise,10:00:00,No,No,,D274
D3738,1/9/2025 6:23,Hydration,10:30:00,Yes,Yes,,D274
D3739,1/16/2025 20:06,Medication,14:00:00,No,No,,D274
D3740,1/22/2025 23:59,Appointment,9:00:00,No,No,,D275
D3741,1/4/2025 22:52,Medication,16:30:00,Yes,No,,D275
D3742,1/22/2025 8:53,Medication,21:00:00,Yes,Yes,,D275
D3743,1/4/2025 13:22,Exercise,7:00:00,Yes,Yes,,D275
D3744,1/26/2025 11:15,Exercise,8:30:00,Yes,No,,D275
D3745,1/28/2025 15:33,Medication,17:30:00,Yes,Yes,,D275
D3746,1/25/2025 17:01,Hydration,15:30:00,No,No,,D275
D3747,1/3/2025 19:11,Medication,10:00:00,No,No,,D275
D3748,1/9/2025 5:45,Hydration,13:00:00,No,No,,D275
D3749,1/14/2025 20:59,Hydration,10:30:00,No,No,,D275
D3750,1/10/2025 9:01,Exercise,20:30:00,Yes,No,,D276
D3751,1/28/2025 6:28,Hydration,12:30:00,No,No,,D276
D3752,1/10/2025 23:40,Exercise,14:00:00,Yes,Yes,,D276
D3753,1/5/2025 14:40,Exercise,15:30:00,No,No,,D276
D3754,1/9/2025 1:50,Medication,6:00:00,No,No,,D276
D3755,1/26/2025 6:37,Exercise,9:30:00,No,No,,D276
D3756,1/14/2025 1:57,Medication,15:00:00,No,No,,D276
D3757,1/16/2025 12:30,Medication,21:00:00,No,No,,D276
D3758,1/24/2025 15:16,Exercise,9:00:00,Yes,Yes,,D276
D3759,1/3/2025 19:19,Exercise,9:30:00,Yes,Yes,,D276
D3760,1/3/2025 17:24,Hydration,13:30:00,No,No,,D277
D3761,1/27/2025 1:59,Appointment,14:00:00,No,No,,D277
D3762,1/13/2025 14:24,Exercise,17:00:00,Yes,Yes,,D277
D3763,1/24/2025 1:10,Exercise,21:00:00,Yes,Yes,,D277
D3764,1/17/2025 8:52,Appointment,14:30:00,No,No,,D277
D3765,1/21/2025 21:06,Exercise,22:00:00,Yes,Yes,,D277
D3766,1/5/2025 14:11,Appointment,12:00:00,Yes,Yes,,D277
D3767,1/6/2025 20:05,Exercise,20:00:00,Yes,Yes,,D277
D3768,1/3/2025 19:45,Medication,13:00:00,No,No,,D277
D3769,1/16/2025 10:20,Exercise,7:00:00,Yes,Yes,,D277
D3770,1/27/2025 14:19,Medication,18:00:00,No,No,,D278
D3771,1/27/2025 19:32,Medication,17:00:00,No,No,,D278
D3772,1/9/2025 1:23,Exercise,18:00:00,No,No,,D278
D3773,1/30/2025 3:09,Appointment,19:30:00,No,No,,D278
D3774,1/27/2025 16:32,Hydration,14:00:00,No,No,,D278
D3775,1/8/2025 23:04,Hydration,10:00:00,No,No,,D278
D3776,1/1/2025 14:32,Hydration,17:00:00,Yes,Yes,,D278
D3777,1/5/2025 16:18,Medication,7:00:00,No,No,,D278
D3778,1/11/2025 3:17,Hydration,6:30:00,Yes,Yes,,D278
D3779,1/5/2025 1:44,Hydration,11:30:00,No,No,,D278
D3780,1/4/2025 17:52,Medication,14:30:00,Yes,Yes,,D279
D3781,1/27/2025 11:17,Medication,9:00:00,Yes,No,,D279
D3782,1/18/2025 4:41,Medication,16:00:00,No,No,,D279
D3783,1/8/2025 20:07,Medication,11:30:00,No,No,,D279
D3784,1/15/2025 23:24,Hydration,11:00:00,Yes,Yes,,D279
D3785,1/10/2025 19:27,Appointment,21:00:00,Yes,Yes,,D279
D3786,1/14/2025 23:40,Exercise,10:30:00,Yes,Yes,,D279
D3787,1/17/2025 18:54,Medication,8:30:00,Yes,Yes,,D279
D3788,1/11/2025 15:12,Appointment,17:00:00,No,No,,D279
D3789,1/23/2025 6:14,Appointment,17:00:00,Yes,Yes,,D279
D3790,1/20/2025 22:23,Hydration,14:00:00,No,No,,D280
D3791,1/25/2025 6:06,Appointment,7:00:00,Yes,Yes,,D280
D3792,1/2/2025 11:54,Exercise,6:30:00,No,No,,D280
D3793,1/29/2025 10:18,Exercise,11:30:00,Yes,Yes,,D280
D3794,1/18/2025 10:47,Medication,11:00:00,No,No,,D280
D3795,1/25/2025 20:50,Medication,21:30:00,Yes,No,,D280
D3796,1/9/2025 17:44,Appointment,11:30:00,Yes,Yes,,D280
D3797,1/15/2025 3:19,Medication,14:00:00,Yes,No,,D280
D3798,1/10/2025 4:50,Appointment,10:00:00,Yes,No,,D280
D3799,1/7/2025 0:37,Exercise,17:30:00,No,No,,D280
D3800,1/27/2025 0:15,Hydration,13:00:00,Yes,Yes,,D281
D3801,1/21/2025 11:55,Appointment,13:00:00,Yes,Yes,,D281
D3802,1/13/2025 7:58,Exercise,15:00:00,No,No,,D281
D3803,1/28/2025 14:04,Medication,18:30:00,Yes,Yes,,D281
D3804,1/8/2025 12:34,Appointment,13:00:00,Yes,Yes,,D281
D3805,1/29/2025 2:42,Hydration,11:00:00,No,No,,D281
D3806,1/15/2025 3:17,Appointment,8:30:00,No,No,,D281
D3807,1/5/2025 14:54,Medication,15:00:00,Yes,Yes,,D281
D3808,1/24/2025 8:52,Medication,7:00:00,No,No,,D281
D3809,1/8/2025 23:32,Exercise,22:30:00,No,No,,D281
D3810,1/17/2025 22:08,Exercise,12:30:00,Yes,Yes,,D282
D3811,1/16/2025 15:54,Hydration,8:30:00,No,No,,D282
D3812,1/23/2025 11:03,Appointment,14:30:00,Yes,Yes,,D282
D3813,1/27/2025 1:50,Hydration,13:00:00,Yes,Yes,,D282
D3814,1/22/2025 0:04,Medication,10:30:00,No,No,,D282
D3815,1/22/2025 21:28,Appointment,12:00:00,Yes,No,,D282
D3816,1/28/2025 6:13,Medication,18:30:00,Yes,Yes,,D282
D3817,1/11/2025 8:08,Exercise,16:00:00,Yes,Yes,,D282
D3818,1/15/2025 22:19,Medication,16:30:00,No,No,,D282
D3819,1/11/2025 5:29,Exercise,17:00:00,No,No,,D282
D3820,1/16/2025 11:44,Hydration,6:30:00,No,No,,D283
D3821,1/5/2025 4:05,Exercise,7:30:00,Yes,No,,D283
D3822,1/18/2025 6:06,Medication,15:30:00,Yes,No,,D283
D3823,1/18/2025 20:47,Exercise,20:30:00,Yes,Yes,,D283
D3824,1/23/2025 10:12,Appointment,12:00:00,No,No,,D283
D3825,1/2/2025 19:33,Appointment,15:00:00,No,No,,D283
D3826,1/21/2025 3:24,Hydration,17:00:00,No,No,,D283
D3827,1/16/2025 3:39,Appointment,15:30:00,No,No,,D283
D3828,1/3/2025 14:58,Exercise,18:00:00,Yes,No,,D283
D3829,1/4/2025 19:37,Hydration,14:30:00,Yes,Yes,,D283
D3830,1/2/2025 20:22,Medication,15:00:00,No,No,,D284
D3831,1/22/2025 9:33,Exercise,14:00:00,No,No,,D284
D3832,1/13/2025 11:03,Appointment,15:00:00,No,No,,D284
D3833,1/16/2025 10:49,Appointment,20:30:00,No,No,,D284
D3834,1/6/2025 15:14,Medication,20:30:00,Yes,No,,D284
D3835,1/27/2025 1:48,Hydration,14:30:00,No,No,,D284
D3836,1/11/2025 4:40,Medication,18:30:00,No,No,,D284
D3837,1/18/2025 12:08,Medication,11:30:00,No,No,,D284
D3838,1/5/2025 8:10,Exercise,11:00:00,Yes,Yes,,D284
D3839,1/22/2025 13:32,Exercise,14:00:00,No,No,,D284
D3840,1/9/2025 19:12,Exercise,11:30:00,No,No,,D285
D3841,1/7/2025 3:47,Medication,17:00:00,Yes,Yes,,D285
D3842,1/27/2025 1:38,Hydration,18:00:00,No,No,,D285
D3843,1/22/2025 22:27,Medication,21:30:00,Yes,Yes,,D285
D3844,1/9/2025 22:34,Exercise,12:30:00,Yes,Yes,,D285
D3845,1/11/2025 2:13,Exercise,18:00:00,No,No,,D285
D3846,1/19/2025 11:19,Hydration,15:00:00,No,No,,D285
D3847,1/20/2025 23:43,Hydration,17:00:00,Yes,Yes,,D285
D3848,1/7/2025 8:25,Medication,22:00:00,No,No,,D285
D3849,1/27/2025 15:29,Exercise,6:00:00,No,No,,D285
D3850,1/29/2025 16:27,Medication,13:30:00,No,No,,D286
D3851,1/13/2025 13:30,Hydration,17:30:00,Yes,No,,D286
D3852,1/2/2025 7:35,Appointment,20:30:00,Yes,Yes,,D286
D3853,1/20/2025 22:16,Hydration,21:00:00,No,No,,D286
D3854,1/11/2025 15:11,Medication,7:30:00,Yes,Yes,,D286
D3855,1/22/2025 20:18,Appointment,22:30:00,Yes,Yes,,D286
D3856,1/27/2025 16:26,Hydration,14:00:00,Yes,Yes,,D286
D3857,1/22/2025 10:59,Exercise,16:30:00,Yes,Yes,,D286
D3858,1/19/2025 10:33,Medication,15:30:00,Yes,Yes,,D286
D3859,1/22/2025 5:19,Hydration,8:00:00,No,No,,D286
D3860,1/30/2025 1:25,Hydration,15:30:00,No,No,,D287
D3861,1/2/2025 4:42,Hydration,21:00:00,Yes,Yes,,D287
D3862,1/3/2025 23:41,Medication,9:30:00,No,No,,D287
D3863,1/14/2025 23:54,Exercise,11:00:00,Yes,Yes,,D287
D3864,1/30/2025 20:35,Hydration,18:30:00,Yes,Yes,,D287
D3865,1/18/2025 8:48,Medication,20:00:00,No,No,,D287
D3866,1/17/2025 21:06,Medication,15:30:00,No,No,,D287
D3867,1/29/2025 2:42,Exercise,14:00:00,Yes,Yes,,D287
D3868,1/26/2025 16:14,Hydration,22:30:00,No,No,,D287
D3869,1/19/2025 4:24,Medication,9:30:00,Yes,Yes,,D287
D3870,1/21/2025 1:54,Exercise,17:30:00,No,No,,D288
D3871,1/22/2025 14:36,Hydration,10:00:00,No,No,,D288
D3872,1/21/2025 6:24,Exercise,19:30:00,No,No,,D288
D3873,1/29/2025 6:28,Appointment,15:00:00,Yes,Yes,,D288
D3874,1/8/2025 23:17,Medication,19:00:00,No,No,,D288
D3875,1/8/2025 4:39,Exercise,10:30:00,Yes,Yes,,D288
D3876,1/21/2025 17:21,Hydration,15:30:00,No,No,,D288
D3877,1/23/2025 1:46,Medication,7:30:00,Yes,Yes,,D288
D3878,1/8/2025 19:22,Hydration,22:00:00,Yes,Yes,,D288
D3879,1/17/2025 20:27,Hydration,10:00:00,Yes,Yes,,D288
D3880,1/6/2025 6:24,Hydration,12:30:00,No,No,,D289
D3881,1/28/2025 0:01,Exercise,15:30:00,No,No,,D289
D3882,1/25/2025 15:36,Exercise,22:00:00,No,No,,D289
D3883,1/5/2025 19:26,Medication,18:30:00,No,No,,D289
D3884,1/8/2025 8:20,Medication,17:30:00,No,No,,D289
D3885,1/25/2025 12:04,Medication,6:00:00,Yes,No,,D289
D3886,1/25/2025 3:30,Exercise,22:00:00,Yes,Yes,,D289
D3887,1/19/2025 3:09,Exercise,7:30:00,No,No,,D289
D3888,1/8/2025 21:42,Exercise,17:30:00,Yes,Yes,,D289
D3889,1/23/2025 3:45,Appointment,10:30:00,No,No,,D289
D3890,1/9/2025 9:41,Hydration,8:30:00,Yes,Yes,,D290
D3891,1/4/2025 8:45,Appointment,6:30:00,Yes,Yes,,D290
D3892,1/16/2025 18:17,Exercise,22:00:00,No,No,,D290
D3893,1/14/2025 1:21,Hydration,17:00:00,No,No,,D290
D3894,1/4/2025 7:19,Appointment,13:30:00,No,No,,D290
D3895,1/10/2025 3:44,Hydration,21:00:00,Yes,Yes,,D290
D3896,1/14/2025 10:29,Exercise,11:00:00,No,No,,D290
D3897,1/16/2025 8:39,Medication,16:30:00,No,No,,D290
D3898,1/18/2025 17:28,Medication,16:00:00,No,No,,D290
D3899,1/9/2025 5:31,Exercise,9:30:00,Yes,No,,D290
D3900,1/4/2025 22:45,Hydration,17:00:00,Yes,Yes,,D291
D3901,1/27/2025 4:38,Appointment,13:30:00,Yes,Yes,,D291
D3902,1/20/2025 6:40,Medication,20:00:00,No,No,,D291
D3903,1/6/2025 16:47,Appointment,22:30:00,No,No,,D291
D3904,1/15/2025 4:35,Hydration,16:30:00,Yes,Yes,,D291
D3905,1/2/2025 8:57,Exercise,10:30:00,No,No,,D291
D3906,1/12/2025 16:08,Exercise,7:30:00,Yes,Yes,,D291
D3907,1/27/2025 7:06,Medication,21:30:00,Yes,No,,D291
D3908,1/19/2025 13:23,Medication,10:00:00,Yes,Yes,,D291
D3909,1/1/2025 8:52,Hydration,14:00:00,No,No,,D291
D3910,1/7/2025 5:26,Medication,21:30:00,No,No,,D292
D3911,1/21/2025 14:42,Hydration,7:00:00,Yes,Yes,,D292
D3912,1/15/2025 7:19,Exercise,21:00:00,Yes,Yes,,D292
D3913,1/5/2025 21:04,Medication,8:30:00,No,No,,D292
D3914,1/27/2025 9:36,Appointment,8:30:00,No,No,,D292
D3915,1/11/2025 19:02,Appointment,12:00:00,No,No,,D292
D3916,1/30/2025 6:43,Medication,12:30:00,Yes,Yes,,D292
D3917,1/27/2025 12:50,Medication,17:00:00,Yes,Yes,,D292
D3918,1/12/2025 23:18,Appointment,21:00:00,No,No,,D292
D3919,1/16/2025 7:25,Hydration,11:00:00,Yes,Yes,,D292
D3920,1/17/2025 20:51,Appointment,18:30:00,Yes,Yes,,D293
D3921,1/6/2025 1:05,Medication,8:30:00,Yes,Yes,,D293
D3922,1/26/2025 6:05,Hydration,15:00:00,Yes,No,,D293
D3923,1/13/2025 2:20,Medication,16:30:00,No,No,,D293
D3924,1/8/2025 23:14,Appointment,22:00:00,Yes,Yes,,D293
D3925,1/7/2025 14:58,Hydration,16:30:00,Yes,Yes,,D293
D3926,1/27/2025 21:07,Appointment,14:00:00,Yes,No,,D293
D3927,1/6/2025 7:38,Appointment,20:30:00,No,No,,D293
D3928,1/21/2025 7:17,Appointment,22:30:00,No,No,,D293
D3929,1/3/2025 0:43,Exercise,8:30:00,Yes,Yes,,D293
D3930,1/9/2025 16:32,Exercise,11:00:00,No,No,,D294
D3931,1/21/2025 16:11,Medication,19:00:00,Yes,Yes,,D294
D3932,1/6/2025 2:52,Hydration,19:00:00,No,No,,D294
D3933,1/22/2025 9:24,Hydration,13:30:00,Yes,Yes,,D294
D3934,1/11/2025 21:00,Exercise,11:00:00,No,No,,D294
D3935,1/21/2025 14:32,Appointment,17:00:00,No,No,,D294
D3936,1/5/2025 13:24,Hydration,6:30:00,No,No,,D294
D3937,1/16/2025 16:51,Medication,8:30:00,Yes,No,,D294
D3938,1/8/2025 12:56,Exercise,22:30:00,Yes,Yes,,D294
D3939,1/26/2025 4:11,Exercise,18:30:00,No,No,,D294
D3940,1/30/2025 8:53,Medication,12:30:00,Yes,Yes,,D295
D3941,1/29/2025 5:41,Exercise,22:30:00,Yes,Yes,,D295
D3942,1/8/2025 14:19,Exercise,10:00:00,No,No,,D295
D3943,1/13/2025 9:29,Appointment,15:00:00,Yes,Yes,,D295
D3944,1/24/2025 7:36,Appointment,12:00:00,Yes,Yes,,D295
D3945,1/25/2025 12:53,Hydration,15:00:00,Yes,Yes,,D295
D3946,1/17/2025 22:49,Appointment,8:00:00,Yes,Yes,,D295
D3947,1/5/2025 3:13,Medication,19:00:00,No,No,,D295
D3948,1/20/2025 4:04,Exercise,14:00:00,No,No,,D295
D3949,1/4/2025 4:39,Exercise,20:00:00,Yes,No,,D295
D3950,1/2/2025 21:40,Appointment,19:30:00,Yes,Yes,,D296
D3951,1/11/2025 11:36,Hydration,8:30:00,Yes,No,,D296
D3952,1/16/2025 10:16,Medication,10:30:00,Yes,Yes,,D296
D3953,1/1/2025 8:19,Exercise,11:00:00,Yes,Yes,,D296
D3954,1/10/2025 3:14,Medication,20:30:00,No,No,,D296
D3955,1/18/2025 17:42,Exercise,17:30:00,No,No,,D296
D3956,1/18/2025 16:53,Hydration,7:00:00,Yes,Yes,,D296
D3957,1/6/2025 8:39,Hydration,22:00:00,No,No,,D296
D3958,1/7/2025 1:39,Medication,8:30:00,Yes,No,,D296
D3959,1/13/2025 5:28,Medication,16:00:00,Yes,Yes,,D296
D3960,1/29/2025 9:15,Medication,22:30:00,Yes,Yes,,D297
D3961,1/5/2025 7:31,Hydration,14:30:00,Yes,Yes,,D297
D3962,1/13/2025 10:38,Appointment,15:00:00,Yes,Yes,,D297
D3963,1/8/2025 13:54,Hydration,13:00:00,Yes,Yes,,D297
D3964,1/27/2025 23:22,Appointment,20:30:00,No,No,,D297
D3965,1/13/2025 3:01,Hydration,17:00:00,No,No,,D297
D3966,1/27/2025 15:54,Medication,11:30:00,No,No,,D297
D3967,1/6/2025 1:46,Medication,14:30:00,Yes,Yes,,D297
D3968,1/14/2025 16:30,Appointment,17:30:00,No,No,,D297
D3969,1/29/2025 20:23,Exercise,12:00:00,No,No,,D297
D3970,1/8/2025 11:02,Hydration,18:00:00,No,No,,D298
D3971,1/16/2025 23:18,Hydration,13:00:00,No,No,,D298
D3972,1/19/2025 21:35,Appointment,16:30:00,No,No,,D298
D3973,1/9/2025 20:13,Hydration,15:00:00,No,No,,D298
D3974,1/19/2025 21:14,Medication,10:00:00,No,No,,D298
D3975,1/16/2025 12:39,Hydration,20:00:00,No,No,,D298
D3976,1/19/2025 22:19,Hydration,16:00:00,No,No,,D298
D3977,1/19/2025 10:21,Exercise,16:30:00,No,No,,D298
D3978,1/6/2025 7:23,Appointment,12:30:00,No,No,,D298
D3979,1/26/2025 10:20,Appointment,21:00:00,No,No,,D298
D3980,1/8/2025 7:17,Exercise,8:30:00,Yes,Yes,,D299
D3981,1/20/2025 4:19,Appointment,18:00:00,Yes,Yes,,D299
D3982,1/4/2025 10:26,Hydration,17:00:00,Yes,Yes,,D299
D3983,1/15/2025 19:39,Hydration,20:00:00,No,No,,D299
D3984,1/27/2025 11:39,Hydration,21:30:00,No,No,,D299
D3985,1/27/2025 21:55,Medication,14:30:00,No,No,,D299
D3986,1/12/2025 5:28,Hydration,7:00:00,Yes,No,,D299
D3987,1/23/2025 0:23,Appointment,7:00:00,No,No,,D299
D3988,1/14/2025 12:30,Appointment,8:00:00,No,No,,D299
D3989,1/17/2025 11:35,Medication,6:00:00,No,No,,D299
D3990,1/17/2025 17:44,Exercise,12:00:00,No,No,,D300
D3991,1/23/2025 18:07,Appointment,13:30:00,No,No,,D300
D3992,1/19/2025 20:54,Medication,19:00:00,Yes,Yes,,D300
D3993,1/4/2025 1:39,Appointment,14:00:00,No,No,,D300
D3994,1/29/2025 1:36,Medication,17:00:00,Yes,Yes,,D300
D3995,1/3/2025 6:48,Hydration,13:30:00,No,No,,D300
D3996,1/17/2025 18:00,Exercise,6:30:00,Yes,No,,D300
D3997,1/27/2025 7:39,Medication,10:30:00,Yes,Yes,,D300
D3998,1/2/2025 21:02,Hydration,20:00:00,No,No,,D300
D3999,1/5/2025 11:39,Exercise,9:30:00,No,No,,D300
D4000,1/20/2025 18:29,Exercise,16:30:00,Yes,Yes,,D301
D4001,1/2/2025 23:12,Medication,17:30:00,Yes,Yes,,D301
D4002,1/25/2025 7:52,Medication,16:30:00,Yes,No,,D301
D4003,1/20/2025 21:17,Hydration,17:30:00,No,No,,D301
D4004,1/20/2025 0:14,Appointment,19:00:00,Yes,No,,D301
D4005,1/26/2025 15:52,Appointment,17:00:00,No,No,,D301
D4006,1/13/2025 18:04,Medication,6:30:00,No,No,,D301
D4007,1/16/2025 13:30,Hydration,12:00:00,Yes,Yes,,D301
D4008,1/4/2025 0:31,Exercise,7:00:00,No,No,,D301
D4009,1/7/2025 18:56,Appointment,11:00:00,No,No,,D301
D4010,1/6/2025 10:55,Exercise,17:30:00,No,No,,D302
D4011,1/7/2025 20:32,Medication,19:00:00,No,No,,D302
D4012,1/11/2025 15:36,Hydration,7:30:00,No,No,,D302
D4013,1/10/2025 0:48,Hydration,12:00:00,No,No,,D302
D4014,1/4/2025 4:59,Hydration,18:00:00,Yes,Yes,,D302
D4015,1/20/2025 21:55,Exercise,12:30:00,No,No,,D302
D4016,1/6/2025 1:30,Medication,19:00:00,No,No,,D302
D4017,1/6/2025 13:35,Medication,21:30:00,Yes,No,,D302
D4018,1/18/2025 22:50,Hydration,22:00:00,Yes,Yes,,D302
D4019,1/11/2025 8:28,Hydration,21:00:00,Yes,No,,D302
D4020,1/13/2025 3:23,Hydration,16:30:00,Yes,No,,D303
D4021,1/16/2025 6:43,Appointment,17:00:00,No,No,,D303
D4022,1/17/2025 15:56,Exercise,16:30:00,Yes,Yes,,D303
D4023,1/21/2025 13:03,Appointment,14:30:00,Yes,Yes,,D303
D4024,1/8/2025 19:44,Exercise,8:00:00,Yes,Yes,,D303
D4025,1/23/2025 11:41,Appointment,19:30:00,No,No,,D303
D4026,1/30/2025 1:35,Appointment,15:00:00,No,No,,D303
D4027,1/30/2025 5:19,Exercise,12:00:00,No,No,,D303
D4028,1/9/2025 16:00,Hydration,7:00:00,Yes,Yes,,D303
D4029,1/27/2025 10:05,Appointment,8:00:00,No,No,,D303
D4030,1/11/2025 22:52,Hydration,12:30:00,Yes,Yes,,D304
D4031,1/20/2025 14:31,Hydration,21:00:00,Yes,No,,D304
D4032,1/22/2025 21:43,Appointment,19:00:00,Yes,No,,D304
D4033,1/10/2025 5:19,Hydration,20:30:00,Yes,Yes,,D304
D4034,1/26/2025 6:01,Appointment,7:30:00,No,No,,D304
D4035,1/30/2025 11:18,Hydration,18:30:00,No,No,,D304
D4036,1/4/2025 5:54,Appointment,6:00:00,Yes,Yes,,D304
D4037,1/24/2025 8:35,Appointment,21:00:00,No,No,,D304
D4038,1/24/2025 4:32,Exercise,17:00:00,No,No,,D304
D4039,1/15/2025 0:52,Exercise,21:00:00,No,No,,D304
D4040,1/7/2025 21:44,Appointment,12:30:00,Yes,Yes,,D305
D4041,1/6/2025 6:51,Appointment,20:30:00,Yes,Yes,,D305
D4042,1/28/2025 9:26,Appointment,11:30:00,Yes,Yes,,D305
D4043,1/30/2025 23:16,Exercise,6:00:00,No,No,,D305
D4044,1/9/2025 10:42,Hydration,7:30:00,No,No,,D305
D4045,1/22/2025 19:34,Medication,12:00:00,Yes,Yes,,D305
D4046,1/6/2025 1:27,Appointment,9:30:00,Yes,Yes,,D305
D4047,1/3/2025 0:37,Medication,17:30:00,Yes,Yes,,D305
D4048,1/17/2025 12:14,Appointment,7:00:00,Yes,Yes,,D305
D4049,1/19/2025 19:39,Medication,18:30:00,No,No,,D305
D4050,1/26/2025 17:12,Exercise,11:30:00,Yes,Yes,,D306
